age,sex,education,race,hispanic,enrolled,full_time,school_level,labor_status,weight,usual_hours,female,race_group,employed,college_enrolled
24,1,46,1,0,0,-1,NA,6,57917483,NA,0,White,0,0
24,1,39,1,0,0,-1,NA,2,76479705,50,0,White,1,0
24,2,39,1,0,0,-1,NA,2,67688895,30,1,White,1,0
23,1,40,1,0,1,2,College,7,57600848,NA,0,White,0,1
20,1,39,1,1,1,1,College,6,48970600,NA,0,White,0,1
22,2,40,2,0,1,1,College,7,90207526,NA,1,Black,0,1
24,2,44,2,0,0,-1,NA,1,71056947,40,1,Black,1,0
24,1,39,1,1,0,-1,NA,1,58079185,40,0,White,1,0
20,1,39,1,0,0,-1,NA,4,61459601,NA,0,White,0,0
20,1,39,1,1,0,-1,NA,7,65889253,NA,0,White,0,0
18,1,38,1,1,1,1,High school,7,72486247,NA,0,White,0,0
24,2,39,1,1,1,2,College,6,53165320,NA,1,White,0,1
22,2,39,1,0,0,-1,NA,1,62258012,12,1,White,1,0
21,2,39,1,0,0,-1,NA,1,62258012,12,1,White,1,0
18,2,39,1,0,1,1,College,1,62990683,25,1,White,1,1
24,1,41,1,0,0,-1,NA,2,55804293,35,0,White,1,0
24,2,39,1,0,0,-1,NA,1,62258012,40,1,White,1,0
24,2,39,1,1,0,-1,NA,1,52921813,40,1,White,1,0
18,2,39,3,0,1,1,College,7,65819031,NA,1,Other,0,1
19,2,39,1,0,0,-1,NA,1,72901463,35,1,White,1,0
23,1,39,1,0,1,2,College,1,72199697,35,0,White,1,1
24,2,43,1,0,0,-1,NA,1,62010090,50,1,White,1,0
21,1,39,1,0,0,-1,NA,1,72199697,50,0,White,1,0
23,1,39,1,0,0,-1,NA,1,61175379,18,0,White,1,0
21,1,40,1,0,0,-1,NA,1,61175379,30,0,White,1,0
21,1,39,1,1,0,-1,NA,1,40802688,40,0,White,1,0
18,1,39,1,0,1,1,College,7,51217031,NA,0,White,0,1
20,1,40,1,0,1,1,College,7,71944253,NA,0,White,0,1
23,1,39,1,0,0,-1,NA,2,49044936,40,0,White,1,0
19,1,39,1,0,0,-1,NA,1,44905793,36,0,White,1,0
19,1,40,1,0,0,-1,NA,4,44905793,NA,0,White,0,0
21,2,39,15,0,0,-1,NA,1,10487627,40,1,Other,1,0
22,1,40,4,0,1,1,College,1,8117846,22,0,Asian,1,1
22,1,39,1,0,1,1,College,7,12675385,NA,0,White,0,1
21,1,39,18,1,0,-1,NA,1,17787756,40,0,Other,1,0
22,2,38,5,0,0,-1,NA,7,11799403,NA,1,Other,0,0
24,2,43,1,1,0,-1,NA,1,14701492,40,1,White,1,0
19,1,42,1,1,1,1,College,1,8778687,20,0,White,1,1
21,1,42,1,1,1,1,College,1,8143977,24,0,White,1,1
18,2,37,1,0,1,1,High school,7,9333568,NA,1,White,0,0
18,2,40,1,1,1,2,College,2,13414702,30,1,White,1,1
24,1,40,1,0,1,2,College,1,9719514,40,0,White,1,1
23,2,42,1,0,0,-1,NA,7,14974194,NA,1,White,0,0
21,2,40,1,0,1,1,College,1,53400845,40,1,White,1,1
22,1,39,1,0,0,-1,NA,1,35136190,40,0,White,1,0
21,2,39,1,0,0,-1,NA,4,42796360,NA,1,White,0,0
24,2,41,1,0,0,-1,NA,1,42796360,40,1,White,1,0
24,1,40,1,1,0,-1,NA,1,37964124,40,0,White,1,0
24,1,40,1,1,0,-1,NA,1,37964124,40,0,White,1,0
22,1,39,2,0,0,-1,NA,7,90958979,NA,0,Black,0,0
24,1,39,4,0,0,-1,NA,1,31209922,40,0,Asian,1,0
24,2,39,4,0,0,-1,NA,1,60978547,40,1,Asian,1,0
24,2,39,1,1,0,-1,NA,7,56283109,NA,1,White,0,0
22,1,40,1,1,0,-1,NA,1,33958470,45,0,White,1,0
18,2,40,1,1,1,1,College,1,45082569,20,1,White,1,1
24,2,40,1,0,0,-1,NA,1,45709770,35,1,White,1,0
20,2,40,1,0,1,2,College,1,45709770,30,1,White,1,1
23,1,43,1,0,0,-1,NA,1,42177464,40,0,White,1,0
22,1,39,1,0,0,-1,NA,2,40020162,15,0,White,1,0
24,2,39,1,0,0,-1,NA,1,52897634,45,1,White,1,0
19,2,39,1,1,0,-1,NA,1,44207413,36,1,White,1,0
24,1,40,1,1,0,-1,NA,1,41467036,40,0,White,1,0
18,1,37,1,1,1,1,High school,4,59260400,NA,0,White,0,0
23,2,39,4,0,0,-1,NA,1,33063993,40,1,Asian,1,0
18,2,39,4,0,0,-1,NA,1,30116296,NA,1,Asian,1,0
21,2,39,1,0,0,-1,NA,4,52897634,NA,1,White,0,0
23,2,39,7,0,0,-1,NA,1,47414410,18,1,Other,1,0
24,2,39,7,0,0,-1,NA,1,47414410,30,1,Other,1,0
23,2,42,1,1,0,-1,NA,1,23985823,40,1,White,1,0
21,2,40,3,1,1,2,College,1,34950176,42,1,Other,1,1
23,2,39,1,1,0,-1,NA,1,25464602,40,1,White,1,0
23,1,39,1,1,0,-1,NA,1,20733775,45,0,White,1,0
24,1,39,2,0,0,-1,NA,1,36416968,40,0,Black,1,0
22,2,42,1,0,0,-1,NA,1,27269440,40,1,White,1,0
21,1,39,1,0,0,-1,NA,4,37371107,NA,0,White,0,0
20,2,39,1,0,0,-1,NA,1,31854164,30,1,White,1,0
22,2,35,1,1,0,-1,NA,1,30027136,50,1,White,1,0
21,2,40,1,1,1,1,College,1,30027136,20,1,White,1,1
21,2,42,1,0,1,1,College,1,23799314,10,1,White,1,1
23,1,42,1,0,0,-1,NA,1,27674976,40,0,White,1,0
22,1,41,1,0,0,-1,NA,1,21812270,40,0,White,1,0
21,2,39,16,1,0,-1,NA,1,33352181,25,1,Other,1,0
21,2,40,1,1,0,-1,NA,1,29398565,40,1,White,1,0
23,1,38,1,1,0,-1,NA,1,19407506,NA,0,White,1,0
23,2,43,1,0,0,-1,NA,1,56875218,40,1,White,1,0
23,1,40,1,1,1,1,College,1,31047651,40,0,White,1,1
18,1,34,1,1,1,1,High school,7,36966315,NA,0,White,0,0
19,2,39,1,0,0,-1,NA,7,18710391,NA,1,White,0,0
24,2,43,4,1,0,-1,NA,1,30718945,40,1,Asian,1,0
19,2,40,1,0,1,1,College,7,30718664,NA,1,White,0,1
19,1,37,1,0,0,-1,NA,1,17511643,NA,0,White,1,0
22,1,39,1,0,0,-1,NA,4,24890854,NA,0,White,0,0
24,2,39,2,0,0,-1,NA,1,75337286,40,1,Black,1,0
24,1,43,1,0,0,-1,NA,1,36487692,40,0,White,1,0
24,1,39,2,0,0,-1,NA,1,46273117,40,0,Black,1,0
19,2,40,2,0,1,1,College,7,53469567,NA,1,Black,0,1
23,1,39,2,0,0,-1,NA,1,85173322,NA,0,Black,1,0
22,2,43,1,1,0,-1,NA,1,49190451,40,1,White,1,0
24,1,43,1,1,0,-1,NA,1,30941510,40,0,White,1,0
20,1,36,4,0,0,-1,NA,1,22753329,40,0,Asian,1,0
